"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1896,2581619,13700,63,"13700_60_63_64_65_66","Appalachian (Hemlock-)Northern Hardwood Forest","Hardwood",1010,1122,NA,531,53,47,NA,"V-B",214,255,145,0.839215686,1,0.568627451,574138,77.3
"2",1895,381318,13690,63,"13690_60_61_63_64_65_66","Central Appalachian Dry Oak-Pine Forest","Hardwood-Conifer",182,463,15,14,8,3,89,"I-B",0,255,220,0,1,0.862745098,84803,11.4
"3",1901,206422,14720,63,"14720_61_62_63","Central Interior and Appalachian Riparian Systems","Riparian",1001,NA,200,166,17,NA,83,"III-B",36,255,20,0.141176471,1,0.078431373,45907,6.2
"4",1902,85323,14750,63,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",NA,435,68,59,NA,14,86,"III-A",122,143,245,0.478431373,0.560784314,0.960784314,18975,2.6
"5",11,52507,11,NA,NA,"Open Water","Open Water",NA,NA,NA,NA,NA,NA,NA,NA,0,0,255,0,0,1,11677,1.6
"6",1904,19337,14790,63,"14790_60_61_63_64_65_66","Central Interior and Appalachian Swamp Systems","Riparian",1011,NA,1353,578,57,NA,43,"V-B",207,61,255,0.811764706,0.239215686,1,4300,0.6
"7",1892,8032,13210,63,"13210_61_63","South-Central Interior Mesophytic Forest","Hardwood",847,573,102,78,9,14,77,"III-A",71,135,148,0.278431373,0.529411765,0.580392157,1786,0.2
"8",1890,4030,13020,63,"13020_63","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",2021,NA,NA,2021,100,NA,NA,"V-B",76,230,0,0.298039216,0.901960784,0,896,0.1
"9",1894,120,13660,63,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,32,15,53,"III-B",208,255,99,0.815686275,1,0.388235294,27,0
"10",1898,55,13770,63,"13770_60_61_63_64_65_66","Central Appalachian Pine-Oak Rocky Woodland","Hardwood-Conifer",412,384,4645,190,46,50,4,"III-B",255,0,77,1,0,0.301960784,12,0
"11",1903,473,14770,63,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,NA,170,144,15,NA,85,"III-B",106,0,138,0.415686275,0,0.541176471,105,0
